,Data,AMAZONAS_ena,ARAGUARI_ena,CAPIVARI_ena,DOCE_ena,GRANDE_ena,IGUACU_ena,ITABAPOANA_ena,ITAJAI_ena,JACUI_ena,JEQUITINHONHA_ena,MUCURI_ena,PARAGUACU_ena,PARAGUAI_ena,PARAIBA_ena,PARANA_ena,PARANAIBA_ena,PARANAPANEMA_ena,PARNAIBA_ena,SFRANCISCO_ena,TIETE_ena,TOCANTINS_ena,URUGUAI_ena
15,2020-01-16,18424.9375,242.45899963,120.02100372,499.76000977,5924.23779297,1967.75195313,57.11800003,48.4980011,486.55200195,128.82000732,4.54899979,45.8370018,400.1000061,1422.0670166,17897.8515625,3575.93701172,1530.67102051,131.58700562,4722.0390625,2696.06689453,5897.78076172,1761.87695313
16,2020-01-17,18344.83789063,268.01501465,123.72200012,538.01300049,5818.71923828,1965.34802246,80.14499664,93.14399719,464.3210144,115.91500092,3.73200011,38.125,394.08898926,1302.97998047,17774.67773438,3474.53588867,1383.50500488,127.10199738,4906.8359375,2798.46191406,5854.89208984,1775.50598145
17,2020-01-18,18266.89648438,296.79199219,120.78700256,624.77197266,5711.06103516,1954.14294434,154.46899414,64.63400269,418.5710144,117.39900208,2.6960001,31.6760006,394.25,1498.82702637,17845.33007813,3620.64794922,1266.48803711,126.98100281,5172.50976563,2073.12890625,5815.05615234,1763.26293945
18,2020-01-19,18128.88476563,327.15200806,113.19400024,722.62902832,5622.41601563,1875.94494629,168.87600708,50.15599823,357.13699341,129.30900574,2.39299989,26.68700027,417.90600586,1411.9050293,17722.8515625,3852.96191406,1205.66101074,122.5,5595.42089844,1920.69897461,5733.73193359,1680.58703613
19,2020-01-20,17898.20703125,353.27398682,103.55899811,878.80200195,5508.46289063,1728.83605957,160.86300659,39.67200089,310.88400269,147.63900757,2.3440001,23.24900055,426.55700684,1277.32104492,17410.22265625,4076.0559082,1179.89794922,118.89700317,5927.27490234,1664.23901367,5737.29101563,1499.89794922
20,2020-01-21,17750.30664063,375.67800903,93.28600311,1021.8380127,5396.66894531,1579.34802246,202.47900391,30.98900032,281.96499634,165.78500366,1.95500004,21.53899956,458.26098633,1108.63598633,16932.77929688,4281.06103516,1139.5579834,114.54000092,6176.39990234,1453.18798828,5703.75097656,1307.6619873
21,2020-01-22,17649.72070313,382.75900269,83.90599823,1130.12304688,5357.3359375,1457.95996094,211.80700684,32.25400162,262.65701294,185.5019989,3.4059999,21.08399963,512.0289917,1129.24902344,16561.15820313,4542.78710938,1079.89196777,114.54699707,6726.34277344,1354.1529541,5932.46582031,1142.85302734
22,2020-01-23,17552.83984375,371.54998779,77.39800262,1256.84899902,5406.63378906,1362.60705566,180.04299927,32.45100021,246.53799438,197.12600708,2.69199991,22.89500046,534.24597168,1107.83605957,16278.46289063,5025.14111328,1025.26196289,118.03800201,7369.625,1298.9029541,6456.36914063,1036.78894043
23,2020-01-24,17386.83789063,344.69699097,72.73999786,2412.51000977,5537.43310547,1285.35803223,314.38800049,34.39400101,220.00999451,445.33700562,3.05800009,26.52899933,555.73400879,1130.79003906,16179.25976563,5744.61279297,983.5579834,122.03299713,7525.53710938,1224.08703613,7086.65478516,981.53997803
24,2020-01-25,17210.01367188,317.5,68.97499847,4961.2578125,5913.50488281,1228.45703125,514.13299561,34.14400101,230.3500061,901.69598389,3.78500009,30.85899925,580.36102295,1235.65698242,16133.96875,6949.57177734,949.04101563,126.03500366,8744.38378906,1115.0,8510.44335938,933.87200928
25,2020-01-26,17060.72851563,299.75,65.65699768,6148.45996094,6710.44677734,1164.68005371,748.67999268,34.3409996,246.06399536,1336.00695801,6.375,37.94900131,550.98699951,1295.58300781,16359.41113281,8666.04589844,913.77099609,130.28700256,8710.05566406,1066.1920166,9685.40527344,898.94897461
26,2020-01-27,17011.23828125,294.4119873,64.44499969,5193.91699219,7457.86376953,1099.51293945,542.54101563,32.34400177,230.13000488,1709.20996094,46.81800079,864.20202637,518.00701904,1098.31298828,16621.328125,10022.01367188,890.56402588,134.79100037,8117.35009766,1035.66894531,10837.02441406,866.56799316
27,2020-01-28,17020.078125,303.23901367,63.74300003,3665.52294922,7743.85693359,1049.62902832,320.86499023,34.37599945,218.25799561,2328.48193359,67.06300354,162.34100342,500.83401489,1032.85705566,17022.21289063,10749.01464844,869.58300781,143.65899658,7418.32080078,1043.93005371,11936.00976563,833.57598877
28,2020-01-29,17017.88671875,320.13800049,63.29700089,2880.88110352,7617.87792969,1040.46704102,236.352005,29.02700043,225.38699341,2702.00195313,56.73699951,46.93399811,485.27600098,1080.67504883,17556.89453125,11500.18652344,835.84802246,148.04299927,7064.84423828,1068.42297363,11974.79492188,808.24798584
29,2020-01-30,16817.62304688,338.89199829,61.76499939,2191.26806641,7324.02490234,1120.93103027,194.04400635,52.06399918,252.59500122,3061.90405273,51.16199875,87.06600189,466.36599731,1058.89501953,18195.03710938,12114.05761719,801.93499756,152.30200195,6726.83105469,1141.00500488,11632.93066406,866.77099609
30,2020-01-31,16582.5078125,344.70098877,60.5530014,1648.32299805,7011.64013672,1280.30297852,167.84700012,80.5019989,237.61099243,2661.21411133,44.97499847,124.88400269,451.2789917,923.25598145,18887.78320313,12275.62988281,800.58502197,152.19999695,6376.70507813,1196.27294922,11313.96679688,960.14001465
31,2020-02-01,16406.46679688,337.62298584,62.3390007,1353.43005371,6642.67089844,1413.89404297,152.61399841,85.94100189,232.50900269,1837.36206055,42.42100143,119.69999695,438.8710022,968.11602783,19416.31640625,11631.20019531,856.0,156.45899963,6122.51806641,1598.36206055,11079.70214844,1015.80700684
32,2020-02-02,16357.26757813,326.01400757,67.82700348,1177.94702148,6351.55175781,1542.61901855,144.61799622,57.60900116,202.61199951,1691.20605469,34.30599976,106.06800079,497.29199219,1075.45800781,19714.28320313,10551.46191406,958.58197021,162.30099487,6393.85400391,2385.21508789,10924.48730469,1010.87200928
33,2020-02-03,16365.49414063,315.87399292,79.6309967,1056.34594727,6139.62597656,1637.47094727,178.20399475,53.74000168,182.29400635,1461.68395996,29.19000053,86.1740036,511.57901001,1391.2989502,20039.45507813,9523.23046875,1167.18798828,171.42900085,6740.26708984,2310.07495117,10874.3359375,985.88500977
34,2020-02-04,16411.74414063,301.95098877,95.19999695,966.26202393,6114.64794922,1688.10302734,192.49200439,37.9070015,170.74899292,1394.3079834,22.05699921,70.19200134,499.72198486,1660.3380127,20366.09765625,8665.27539063,1351.92602539,176.32099915,7422.44921875,2306.38110352,11071.72363281,984.05999756
35,2020-02-05,16697.73632813,279.51501465,112.17299652,859.40899658,6640.01123047,1613.94995117,124.9489975,39.49300003,155.81900024,948.99597168,17.21299934,132.03900146,488.06500244,1787.9510498,20667.0859375,8144.31201172,1624.18395996,182.09500122,8489.09375,2411.47412109,11372.87988281,986.5960083
36,2020-02-06,17557.13476563,258.57501221,125.12599945,1224.76904297,7470.50390625,1493.54797363,101.93900299,39.74300003,148.89399719,541.66601563,16.44099998,118.40799713,540.31097412,1929.68395996,20966.7578125,8330.25292969,1818.82702637,190.29299927,9771.578125,2672.99707031,11736.34375,986.10101318
37,2020-02-07,18511.84570313,245.91600037,133.22900391,1209.2199707,8744.94824219,1365.48400879,107.06800079,62.77899933,153.2519989,425.08401489,12.84700012,83.58200073,558.69000244,1927.0300293,21255.9296875,9377.02929688,1892.55895996,204.11399841,11402.62597656,2731.88891602,12737.3828125,951.14697266
38,2020-02-08,18939.31640625,246.74899292,135.46200562,1157.34301758,9959.49707031,1264.38195801,106.17299652,94.90899658,161.04299927,445.52700806,11.66399956,77.95999908,559.38598633,1813.40100098,21456.30273438,10684.40917969,1892.93994141,215.72999573,11159.27441406,2815.50292969,14520.48144531,919.66601563
39,2020-02-09,19329.67578125,264.64898682,131.76100159,1011.76300049,10843.71582031,1218.35705566,105.83599854,127.78800201,211.20799255,548.93200684,12.02999973,130.66400146,552.66400146,1681.90405273,21676.41796875,11553.5078125,1821.61096191,221.64399719,11273.8203125,2710.13891602,15958.74121094,905.87097168
40,2020-02-10,20111.42382813,300.31399536,123.14800262,909.99102783,11152.48535156,1232.86999512,97.46900177,222.50100708,203.64300537,520.40802002,10.12899971,172.94299316,584.23901367,1690.4630127,21370.98632813,11645.52636719,1734.35498047,218.93400574,11506.33691406,4938.44287109,16326.51855469,922.59997559
41,2020-02-11,20987.03125,344.32901001,111.34300232,852.20697021,11431.49023438,1290.25402832,99.62799835,164.39300537,173.25799561,435.89001465,8.9460001,176.0,845.65698242,1894.82702637,22168.70507813,11089.77734375,1715.43103027,216.80799866,11991.61132813,3346.93994141,16308.7890625,943.57000732
42,2020-02-12,21616.234375,378.71099854,100.30500031,860.63500977,11750.234375,1320.66101074,198.16000366,116.23400116,163.21000671,375.92401123,7.45499992,144.69500732,1012.78497314,1999.80603027,22822.37109375,10476.63964844,1702.30603027,212.52600098,12314.30371094,3423.04003906,15871.77832031,959.53497314
43,2020-02-13,22205.84570313,399.33401489,92.58399963,1246.1529541,12695.12304688,1300.19299316,226.85400391,80.73400116,173.57800293,414.38101196,9.04399967,112.36799622,773.26898193,2250.96606445,23365.09570313,10365.06152344,1688.18798828,209.1000061,12565.32128906,3375.34301758,15602.74121094,938.31799316
44,2020-02-14,22779.14257813,404.8380127,87.98999786,1613.17004395,14082.03808594,1256.33300781,258.28100586,69.96499634,164.2539978,495.85800171,8.74100018,88.33899689,668.3449707,2232.81689453,24069.02148438,10649.328125,1654.34204102,201.35099792,12923.83496094,3171.35498047,15499.6015625,884.97198486
45,2020-02-15,23180.36328125,392.69500732,85.6289978,1675.68701172,15668.73535156,1195.01501465,264.03399658,57.3409996,157.96600342,466.37600708,8.6960001,65.93599701,584.63201904,2080.86401367,24989.36328125,10893.50585938,1596.09594727,192.35800171,13291.30371094,3020.27807617,15135.859375,809.98101807
46,2020-02-16,23461.81640625,372.38299561,84.22499847,1477.40698242,16792.13476563,1140.47302246,221.97900391,47.01800156,159.16299438,398.34100342,8.7489996,57.66600037,581.82702637,1960.17895508,25880.86523438,10905.21386719,1468.74694824,181.04800415,13695.41015625,2848.09301758,14879.17578125,757.57501221
47,2020-02-17,23873.5546875,353.66598511,85.75700378,1215.84594727,17122.54492188,1072.00305176,152.29299927,42.97000122,180.22599792,341.0249939,6.44199991,51.22700119,572.22998047,1823.51794434,26533.04296875,10751.79296875,1323.18701172,172.80099487,14021.5859375,2544.78198242,14841.81152344,712.47601318
48,2020-02-18,24086.87304688,349.39498901,88.5,941.23901367,16941.3203125,1024.72399902,108.63600159,41.34799957,175.00500488,332.51098633,5.35699987,45.19599915,559.97198486,1762.93103027,26973.65429688,10644.53027344,1197.40905762,166.02099609,14478.17089844,2216.44702148,14859.3359375,673.13702393
49,2020-02-19,24241.8046875,341.57998657,91.43499756,841.32897949,16600.90429688,982.82098389,96.52400208,46.875,157.81599426,329.41400146,5.35200024,39.85300064,588.15301514,1666.12304688,27330.55078125,10503.56835938,1096.76196289,164.16600037,14672.45019531,2029.09204102,14829.3828125,622.35699463
50,2020-02-20,24433.31640625,328.23300171,90.66999817,760.14202881,15955.63964844,951.5369873,88.27500153,50.19100189,137.46099854,309.63299561,3.21399999,35.75600052,681.67199707,1581.40197754,27653.63671875,10264.49316406,1040.48095703,166.40100098,14769.36328125,1908.1529541,14756.79199219,585.33502197
51,2020-02-21,24545.63476563,311.33300781,87.09700012,746.2199707,15057.6171875,914.08300781,84.58100128,41.63299942,125.38600159,287.83499146,2.91499996,32.86600113,866.43200684,1616.16101074,27768.08789063,9835.54199219,1069.22900391,167.6230011,14713.8046875,1848.25805664,14644.94335938,548.61700439
52,2020-02-22,24742.8515625,302.49200439,81.8010025,770.16497803,14196.10351563,874.2119751,106.59500122,39.65399933,121.65699768,274.07901001,4.36100006,30.45000076,924.10900879,1671.96203613,27661.65625,9390.92480469,1163.83300781,169.70300293,14648.44433594,1845.50195313,14440.68261719,510.14599609
53,2020-02-23,24680.89257813,301.36801147,79.82299805,967.03497314,13541.88867188,835.11401367,215.8730011,34.0019989,113.7990036,271.51300049,9.16499996,28.65699959,924.08001709,1636.91503906,27455.015625,9076.10742188,1275.34997559,168.22900391,14483.48242188,1747.7130127,14203.22070313,473.78399658
54,2020-02-24,24647.484375,306.73199463,80.52400208,1097.50598145,13065.91894531,872.42498779,223.86799622,25.35400009,114.71700287,279.69500732,9.74499989,27.04000092,880.25201416,1526.42102051,27174.55859375,9012.90820313,1310.95300293,169.43899536,14288.14257813,1811.84997559,13924.81933594,454.07901001
