,Data,AMAZONAS_ear,CAPIVARI_ear,DOCE_ear,GRANDE_ear,IGUACU_ear,JACUI_ear,JEQUITINHONHA_ear,PARAGUACU_ear,PARAGUAI_ear,PARAIBA_ear,PARANA_ear,PARANAIBA_ear,PARANAPANEMA_ear,PARNAIBA_ear,SFRANCISCO_ear,TIETE_ear,TOCANTINS_ear,URUGUAI_ear
154,2020-06-03,742.948974609375,110.37999725341795,12.380000114440918,33379.07421875,1652.677001953125,964.0250244140624,2373.947021484375,541.010986328125,369.6409912109375,4285.01318359375,2287.2529296875,43389.37109375,3737.44091796875,262.3320007324219,48101.546875,6930.658203125,24492.587890625,756.1849975585938
155,2020-06-04,743.927978515625,110.9800033569336,12.80799961090088,33239.63671875,1673.2760009765625,961.2459716796876,2372.695068359375,543.2100219726562,368.3190002441406,4271.65380859375,2272.116943359375,43319.18359375,3738.675048828125,261.9079895019531,48059.4765625,6920.2451171875,24528.189453125,758.77099609375
156,2020-06-05,742.6610107421875,111.39199829101562,12.763999938964844,33141.90234375,1701.5679931640625,966.2849731445312,2371.1298828125,545.9409790039062,366.99700927734375,4249.2041015625,2279.868896484375,43272.05078125,3745.925048828125,260.72100830078125,48011.73828125,6917.3740234375,24537.6953125,769.7579956054688
157,2020-06-06,741.7119750976562,113.26699829101562,12.65999984741211,33075.36328125,1762.5009765625,986.6199951171876,2369.56494140625,547.572998046875,365.6749877929688,4230.40576171875,2302.760009765625,43301.890625,3759.48193359375,259.0840148925781,47998.12109375,6925.125,24545.3203125,793.1680297851562
158,2020-06-07,747.010986328125,114.4290008544922,12.380000114440918,33064.3359375,1820.3800048828125,999.5440063476562,2368.31298828125,549.2420043945312,364.3550109863281,4213.19580078125,2302.760009765625,43369.3828125,3779.945068359375,257.4750061035156,47909.3046875,6925.6611328125,24549.64453125,826.52099609375
159,2020-06-08,748.343994140625,115.29100036621094,12.583999633789062,32899.19921875,1872.5460205078125,1007.0590209960938,2367.06201171875,550.3070068359375,363.0920104980469,4201.68310546875,2279.868896484375,43235.63671875,3798.201904296875,255.83999633789065,47883.73046875,6912.56005859375,24546.794921875,866.7789916992188
160,2020-06-09,747.7080078125,115.89099884033205,12.86400032043457,32768.21875,1962.405029296875,1012.0040283203124,2365.81005859375,551.9760131835938,361.77099609375,4190.22314453125,2302.760009765625,43135.9453125,3817.889892578125,254.23399353027344,47860.12109375,6926.7109375,24556.037109375,900.5999755859375
161,2020-06-10,746.7410278320312,117.16600036621094,12.81999969482422,32676.03125,2146.993896484375,1017.7579956054688,2363.6201171875,550.875,360.4519958496094,4175.13623046875,2355.569091796875,43092.1328125,3838.34912109375,252.6009979248047,47839.19140625,6945.64404296875,24560.66015625,980.405029296875
162,2020-06-11,749.9739990234375,118.74099731445312,12.65999984741211,32708.83984375,2396.639892578125,1025.2779541015625,2362.367919921875,550.875,359.13299560546875,4162.1240234375,2401.376953125,43161.15234375,3857.510009765625,252.6009979248047,47790.5078125,6974.462890625,24626.517578125,1084.7130126953125
163,2020-06-12,753.698974609375,119.75399780273438,12.85200023651123,32752.361328125,2634.85498046875,1031.383056640625,2360.803955078125,551.4429931640625,357.8139953613281,4150.62890625,2401.376953125,43161.63671875,3872.133056640625,252.6009979248047,47764.58984375,6975.2080078125,24674.16015625,1203.9940185546875
