,Data,val_latitude,val_longitude,val_medida
81,2020-01-04 09:00:00,-22676.839999,-61517.496181,12656.3
82,2020-01-04 10:00:00,-22676.839999,-61517.496181,12656.3
83,2020-01-04 11:00:00,-22676.839999,-61517.496181,12656.3
84,2020-01-04 12:00:00,-22676.839999,-61517.496181,12656.3
85,2020-01-04 13:00:00,-22676.839999,-61517.496181,12656.3
86,2020-01-04 14:00:00,-22676.839999,-61517.496181,12656.3
87,2020-01-04 15:00:00,-22676.839999,-61517.496181,12656.3
88,2020-01-04 16:00:00,-22676.839999,-61517.496181,12656.3
89,2020-01-04 17:00:00,-22676.839999,-61517.496181,12656.3
90,2020-01-04 18:00:00,-22676.839999,-61517.496181,12656.3
91,2020-01-04 19:00:00,-22676.839999,-61517.496181,12656.3
92,2020-01-04 20:00:00,-22676.839999,-61517.496181,12656.3
93,2020-01-04 21:00:00,-22676.839999,-61517.496181,12656.3
94,2020-01-04 22:00:00,-22676.839999,-61517.496181,12656.3
95,2020-01-04 23:00:00,-22676.839999,-61517.496181,12656.3
96,2020-01-05 00:00:00,-22549.032191,-61532.265871,14539.75
97,2020-01-05 01:00:00,-22549.032191,-61532.265871,14539.75
98,2020-01-05 02:00:00,-22549.032191,-61532.265871,14539.75
99,2020-01-05 03:00:00,-22549.032191,-61532.265871,14539.75
100,2020-01-05 04:00:00,-22549.032191,-61532.265871,14539.75
101,2020-01-05 05:00:00,-22549.032191,-61532.265871,14539.75
102,2020-01-05 06:00:00,-22549.032191,-61532.265871,14539.75
103,2020-01-05 07:00:00,-22549.032191,-61532.265871,14539.75
104,2020-01-05 08:00:00,-22549.032191,-61532.265871,14539.75
105,2020-01-05 09:00:00,-22549.032191,-61532.265871,14539.75
106,2020-01-05 10:00:00,-22549.032191,-61532.265871,14539.75
107,2020-01-05 11:00:00,-22549.032191,-61532.265871,14539.75
108,2020-01-05 12:00:00,-22549.032191,-61532.265871,14539.75
109,2020-01-05 13:00:00,-22549.032191,-61532.265871,14539.75
110,2020-01-05 14:00:00,-22549.032191,-61532.265871,14539.75
111,2020-01-05 15:00:00,-22549.032191,-61532.265871,14539.75
112,2020-01-05 16:00:00,-22549.032191,-61532.265871,14539.75
113,2020-01-05 17:00:00,-22549.032191,-61532.265871,14539.75
114,2020-01-05 18:00:00,-22549.032191,-61532.265871,14539.75
115,2020-01-05 19:00:00,-22549.032191,-61532.265871,14539.75
116,2020-01-05 20:00:00,-22549.032191,-61532.265871,14539.75
117,2020-01-05 21:00:00,-22549.032191,-61532.265871,14539.75
118,2020-01-05 22:00:00,-22549.032191,-61532.265871,14539.75
119,2020-01-05 23:00:00,-22549.032191,-61532.265871,14539.75
120,2020-01-06 00:00:00,-22842.577177,-62383.618961,8272.9
121,2020-01-06 01:00:00,-22842.577177,-62383.618961,8272.9
122,2020-01-06 02:00:00,-22842.577177,-62383.618961,8272.9
123,2020-01-06 03:00:00,-22842.577177,-62383.618961,8272.9
124,2020-01-06 04:00:00,-22842.577177,-62383.618961,8272.9
125,2020-01-06 05:00:00,-22842.577177,-62383.618961,8272.9
126,2020-01-06 06:00:00,-22842.577177,-62383.618961,8272.9
127,2020-01-06 07:00:00,-22842.577177,-62383.618961,8272.9
128,2020-01-06 08:00:00,-22842.577177,-62383.618961,8272.9
129,2020-01-06 09:00:00,-22842.577177,-62383.618961,8272.9
130,2020-01-06 10:00:00,-22842.577177,-62383.618961,8272.9
131,2020-01-06 11:00:00,-22842.577177,-62383.618961,8272.9
132,2020-01-06 12:00:00,-22842.577177,-62383.618961,8272.9
133,2020-01-06 13:00:00,-22842.577177,-62383.618961,8272.9
134,2020-01-06 14:00:00,-22842.577177,-62383.618961,8272.9
135,2020-01-06 15:00:00,-22842.577177,-62383.618961,8272.9
136,2020-01-06 16:00:00,-22842.577177,-62383.618961,8272.9
137,2020-01-06 17:00:00,-22842.577177,-62383.618961,8272.9
138,2020-01-06 18:00:00,-22842.577177,-62383.618961,8272.9
139,2020-01-06 19:00:00,-22842.577177,-62383.618961,8272.9
140,2020-01-06 20:00:00,-22842.577177,-62383.618961,8272.9
141,2020-01-06 21:00:00,-22842.577177,-62383.618961,8272.9
142,2020-01-06 22:00:00,-22842.577177,-62383.618961,8272.9
143,2020-01-06 23:00:00,-22842.577177,-62383.618961,8272.9
144,2020-01-07 00:00:00,-22680.078653,-62047.161891,7211.7
145,2020-01-07 01:00:00,-22680.078653,-62047.161891,7211.7
146,2020-01-07 02:00:00,-22680.078653,-62047.161891,7211.7
147,2020-01-07 03:00:00,-22680.078653,-62047.161891,7211.7
148,2020-01-07 04:00:00,-22680.078653,-62047.161891,7211.7
